0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
173,416 北投區,秀山段二小段343地號等土地臺北市北投區杏林三路,,109/5/20,,6,8,2,2,,,,10,12,28,
174,357 南港區,南港段一小段1224地號等土地臺北市南港區興中路,失其效力,109/5/20,,8,,4,,,,,10,12,22,
175,540 中正區,南海段五小段506-2地號等土地 臺北市中正區愛國西路,,109/5/22,,6,10,2,6,6,,,10,12,40,
176,191 內湖區,碧湖段三小段100地號等土地臺北市內湖區內湖路二段,,109/5/29,,8,,2,4,6,,,10,12,30,
177,3841.1 北投區,新民段四小段213-7地號等土地 臺北市北投區幽雅路,失其效力,109/5/29,,8,8,4,6,,,,10,12,36,
178,1715.68 南港區,中南段二小段608地號等土地臺北市南港區福山街,,109/5/29,,8,8,2,6,6,,,10,12,40,
179,100 大同區,玉泉段二小段305地號等土地臺北市大同區延平北路一段,,109/5/29,,8,,,,,,,10,12,18,
,,,,,,,,,,,,,,12,72.42%,
180,783 中山區,長安段三小段733地號等土地臺北市中山區吉林路,,109/5/29,2605.81,8,8,2,6,,,,10,12,,
,,,,,,,,,,,,,,12,原容1.15,
181,223 文山區,興泰段一小段251地號等土地臺北市文山區辛亥路四段,失其效力,109/6/1,,8,,,,,,,10,12,18,
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,13,,
案件,,,,,,,,,,,,,,13,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,13,,
數,,,,,,原容大於法,,,,7綠,,,,13,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,13,,總獎勵額度
,,,,,,容3,,,,建築,,,,13,模獎,
,,,,,,,估,縮,計,,築,設計,設地,13,,
,,,,,,,,,,,,,,13,勵,
182,254 中正區,南海段一小段276地號等土地,臺北市中正區杭州南路二段,失其效力,109/6/2,,8,,,,,,,13,10,18
183,186 萬華區,直興段一小段69地號等土地,臺北市萬華區康定路,,109/6/2,,8,,,,,,,13,10,18
184,285 內湖區,碧湖段二小段193-3地號等土地 臺北市內湖區二段,,,109/6/2,,8,,4,6,,3,,13,10,31
185,440 大安區,懷生段四小段547地號等土地,臺北市大安區新生南路一段,,109/6/2,,8,8,2,6,6,,,13,10,40
186,412 文山區,博嘉段三小段871地號等土地,臺北市文山區和平東路四段,,109/6/3,,6,,10,6,4,3,,13,10,39
187,208 信義區,福德段一小段381地號等土地,臺北市信義區忠孝東路五段,,109/6/3,,8,,4,6,4,,,13,10,32
188,669 北投區,溫泉段四小段500地號等土地,臺北市北投區清江路,,109/6/3,,8,10,2,6,,4,,13,10,40
189,238 中正區,臨沂段一小段469地號等土地,臺北市中正區杭州南路一段,,109/6/3,,6,,4,6,6,,,13,10,32
190,248 北投區,開明段二小段248地號等土地,臺北市北投區雙全街,失其效力,109/6/3,,8,,,6,6,,,13,10,30
191,427 信義區,三興段一小段1043地號等土地,臺北市信義區基隆路二段,,109/6/5,,8,,4,4,,,,13,10,26
192,1194 中山區,正義段二小段315地號等土地,臺北市中山區林森北路,,109/6/5,,8,8,4,6,,3,,13,10,39
193,201 士林區,三玉段五小段620地號等土地,臺北市士林區中山北路六段,失其效力,109/6/5,,8,,4,,,,,13,10,22
194,359 大同區,橋北段一小段98地號等土地,臺北市大同區重慶北路三段,,109/6/8,,8,,10,6,6,,,13,10,40
195,367 中山區,長安段三小段570地號等土地,臺北市中山區松江路,,109/6/8,,6,8,4,6,4,3,,13,10,40
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,14,,
案件,,,,,,,,,,,,,,14,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,14,,
數,,,,,,原容大於法,,,,7綠,,,,14,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,14,,總獎勵額度
,,,,,,容3,,,,建築,,,,14,模獎,
,,,,,,,估,縮,計,,築,設計,設地,14,,
,,,,,,,,,,,,,,14,勵,
196,339.26 士林區,光華段一小段193地號等土地,臺北市士林區中正路,,109/6/8,,8,8,2,8,,3,,14,10,39
197,259 萬華區,漢中段一小段706地號等土地,臺北市萬華區昆明街,,109/6/8,,8,,2,4,,3,,14,10,27
198,550 松山區,美仁段二小段621地號等土地,臺北市松山區南京東路四段,,109/6/11,,8,8,2,6,6,,,14,10,40
199,591 北投區,溫泉段四小段236地號等土地,臺北市北投區新市街,,109/6/11,,8,,2,8,,4,,14,10,32
200,650 中山區,吉林段四小段481地號等土地,臺北市中山區新生北路二段,,109/6/12,,8,8,2,6,6,,,14,10,40
201,653 北投區,溫泉段三小段415地號等土地,臺北市北投區公館路,,109/6/12,,8,8,2,6,,3,,14,10,37
202,753 萬華區,莒光段三小段11地號等土地,臺北市萬華區艋舺大道,,109/6/12,,8,8,6,8,,,,14,10,40
203,2211 大同區,雙連段三小段810地號等土地,臺北市大同區民生西路,,109/6/12,,8,,6,8,8,,,14,10,40
204,418 大安區,金華段二小段506地號等土地,臺北市大安區金華街,,109/6/12,,8,8,6,6,2,,,14,10,40
205,896 士林區,天山段一小段292地號等土地,臺北市士林區中山北路七段,,109/6/12,,8,8,2,,,,,14,10,28
206,183.55 內湖區,碧湖段二小段732地號等土地,臺北市內湖區內湖路二段~,,109/6/12,,8,,2,4,,,,14,10,24
207,390 松山區,美仁段二小段362地號等土地,臺北市松山區南京東路四段,,109/6/12,,8,8,6,6,4,,,14,10,40
208,242 北投區,奇岩段二小段100地號等土地,臺北市北投區公館路,,109/6/16,,8,,4,4,,,,14,10,26
209,597 中山區,吉林段三小段258地號等土地,臺北市中山區新生北路二段,,109/6/16,,8,8,2,6,6,,,14,10,40
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,15,,
案件,,,,,,,,,,,,,,15,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,15,,
數,,,,,,原容大於法,,,,7綠,,,,15,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,15,,總獎勵額度
,,,,,,容3,,,,建築,,,,15,模獎,
,,,,,,,估,縮,計,,築,設計,設地,15,,
,,,,,,,,,,,,,,15,勵,
210,916 士林區,天母段一小段146地號等土地,臺北市士林區天母西路,,109/6/17,,8,8,2,6,6,,,15,10,40
211,522 北投區,振興段一小段216地號等土地,臺北市北投區榮華路三路,,109/6/17,,8,8,4,6,,4,,15,10,40
212,347 士林區,蘭雅段二小段567地號等土地,臺北市士林區文林路,,109/6/18,,8,,6,6,6,4,,15,10,40
213,120 大同區,雙連段一小段350地號等土地,臺北市大同區雙連街,,109/6/18,,8,,,,,,,15,10,18
214,731 北投區,大業段三小段793地號等土地,臺北市北投區大業路,,109/6/19,,8,8,2,6,,3,,15,10,37
215,1719 中山區,中山段三小段57地號等土地,臺北市中山區錦州街,,109/6/19,,8,8,2,6,6,,,15,10,40
216,563 中正區,公園段二小段265地號等土地,臺北市中正區南陽街~,,109/6/19,,8,,10,6,6,,,15,10,40
217,467 中山區,長安段一小段737地號等土地,臺北市中山區朱崙街,,109/6/19,,8,8,10,6,,,,15,10,40
218,382 萬華區,漢中段三小段925地號等土地,臺北市萬華區康定路,,109/6/19,,8,,2,,,,,15,10,20
219,923 中正區,公園段三小段15-4地號等土地,臺北市中正區青島西路,,109/6/20,,8,,10,6,,,,15,10,34
220,1015 內湖區,康寧段四小段196地號等土地,臺北市內湖區康寧路一段,,109/6/22,,8,8,4,6,,,5,15,10,40
221,584 中山區,吉林段二小段57地號等土地,臺北市中山區松江路,,109/6/23,,8,8,4,6,6,,,15,10,40
222,233 中山區,吉林段二小段737地號等土地,臺北市中山區吉林路,失其效力,109/6/23,,8,,10,6,6,,,15,10,40
223,349 大安區,金華段二小段387地號等土地,臺北市大安區和平東路一段,,109/6/24,,8,,,,,,,15,10,18
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,16,,
案件,,,,,,,,,,,,,,16,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,16,,
數,,,,,,原容大於法,,,,7綠,,,,16,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,16,,總獎勵額度
,,,,,,容3,,,,建築,,,,16,模獎,
,,,,,,,估,縮,計,,築,設計,設地,16,,
,,,,,,,,,,,,,,16,勵,
224,386 信義區,雅祥段三小段674地號等土地,臺北市信義區永吉路,,109/6/24,10,8,,2,6,,4,,16,10,40
225,738 士林區,光華段二小段12地號等土地,臺北市士林區福德路,,109/6/24,,6,8,10,6,,,,16,10,40
226,106 松山區,延吉段一小段590地號等土地,臺北市松山區光復南路,,109/6/29,,8,,,,,,,16,10,18
227,561 北投區,振興段一小段402地號等土地,臺北市北投區華榮一路,,109/6/30,,8,8,2,6,6,,,16,10,40
228,905 文山區,華興段二小段147地號等土地,臺北市文山區富山路,,109/7/2,,8,,4,8,6,4,,16,10,40
229,400 萬華區,華江段三小段365地號等土地,臺北市萬華區大理街,,109/7/2,,8,8,4,6,,,4.7,16,10,40
230,275 北投區,奇岩段四小段77地號等土地,臺北市北投區民權街,,109/7/2,,8,8,10,4,,,,16,10,40
231,1410 文山區,景美段五小段111地號等土地,臺北市文山區羅斯福路六段,,109/7/2,,8,8,2,6,6,3,,16,10,40
232,950 中正區,臨沂段三小段464地號等土地,臺北市中正區信義路二段,失其效力,109/7/2,,8,,2,6,,,,16,10,26
233,355 中正區,河堤段三小段687地號等土地,臺北市中正區金門街,,109/7/2,,6,8,4,6,,3,2.25,16,10,39.25
234,279 松山區,寶清段三小段697地號等土地,臺北市松山區南京東路五段,,109/7/2,,8,8,2,6,,,,16,10,34
235,472 萬華區,直興段二小段194地號等土地,臺北市萬華區西園路一段,,109/7/2,,8,8,2,6,,,5,16,10,39
236,334 中正區,臨沂段四小段292地號等土地,臺北市中正區仁愛路二段,,109/7/3,,8,,4,6,6,3,,16,10,37
237,1023 萬華區,雙園段三小段406地號等土地,臺北市萬華區西園路二段,,109/7/3,,8,10,2,6,,,4.59,16,10,40
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,17,,
案件,,,,,,,,,,,,,,17,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,17,,
數,,,,,,原容大於法,,,,7綠,,,,17,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,17,,總獎勵額度
,,,,,,容3,,,,建築,,,,17,模獎,
,,,,,,,估,縮,計,,築,設計,設地,17,,
,,,,,,,,,,,,,,17,勵,
,,,,,,,,,,,,,,17,,113.8%
238,475 士林區,三玉段四小段387地號等土地,臺北市士林區士東路,,109/7/3,1302.39,4,8,2,6,,,,17,10,
,,,,,,,,,,,,,,17,,原容1.15
239,169.55 大同區,文昌段一小段168-12地號等土地 臺北市大同區重慶北路三段,,失其效力,109/7/6,,6,,,,,,,17,10,16
240,197 中山區,吉林段二小段616地號等土地,臺北市中山區吉林路,,109/7/7,,8,,2,4,4,,,17,10,28
241,311 士林區,蘭雅段一小段489地號等土地,臺北市士林區磺溪街,,109/7/7,10,8,,,,,,,17,10,28
242,561 萬華區,福星段二小段388地號等土地,臺北市萬華區開封街二段,,109/7/7,,8,,4,6,6,4,,17,10,38
243,416 大同區,大同段一小段580地號等土地,臺北市大同區民族西路,,109/7/9,,8,,2,6,6,,5,17,10,37
244,842 大同區,玉泉段一小段979地號等土地,臺北市大同區鄭州街,失其效力,109/7/9,,8,,2,6,,3,,17,10,29
245,332 中山區,吉林段一小段766地號等土地,臺北市中山區民生東路二段,,109/7/9,10,6,8,2,4,,,,17,10,40
246,617 大同區,雙連段三小段847地號等土地,臺北市大同區重慶北路二段,,109/7/9,,8,,2,6,6,3,,17,10,35
247,163 大安區,瑞安段二小段222地號等土地,臺北市大安區瑞安街,,109/7/14,,8,,,,,,,17,10,18
248,384 中正區,公園段二小段654地號等土地,臺北市中正區漢口街一段,失其效力,109/7/14,,8,,10,6,6,,,17,10,40
249,399 中正區,臨沂段三小段579地號等土地,臺北市中正區臨沂街,失其效力,109/7/15,,8,,10,,,,,17,10,28
250,303 文山區,萬慶段三小段221地號等土地,臺北市文山區育英街,,109/7/16,,8,8,4,6,4,,,17,10,40
251,324 中山區,中山段三小段225地號等土地,臺北市中山區民生東路一段,失其效力,109/7/16,,6,,4,,,,,17,10,20
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,18,,
案件,,,,,,,,,,,,,,18,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,18,,
數,,,,,,原容大於法,,,,7綠,,,,18,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,18,,總獎勵額度
,,,,,,容3,,,,建築,,,,18,模獎,
,,,,,,,估,縮,計,,築,設計,設地,18,,
,,,,,,,,,,,,,,18,勵,
252,286 大同區,圓環段三小段336地號等土地,臺北市大同區太原路,,109/7/17,,8,,,,,,,18,10,18
253,533 中山區,正義段一小段336地號等土地,臺北市中山區林森北路,,109/7/17,,8,8,2,6,6,,,18,10,40
254,2181 士林區,陽明段二小段23地號等土地,臺北市士林區中山北路,,109/7/17,,6,8,4,6,6,,,18,10,40
255,372 中正區,中正段二小段279地號等土地,臺北市中正區金山南路一段,,109/7/17,10,8,,2,6,4,,,18,10,40
256,1458.14 北投區,桃源段四小段159地號等土地,臺北市北投區中央北路三段,,109/7/22,,8,8,2,,8,,,18,10,36
257,496 大同區,迪化段二小段399地號等土地,臺北市大同區南京西路,,109/7/24,,8,,10,6,6,,,18,10,40
258,300 內湖區,康寧段一小段242地號等土地,臺北市內湖區大湖街,,109/7/31,,6,,,,,,,18,10,16
259,327 大安區,仁愛段六小段305地號等土地,臺北市大安區敦化南路一段,,109/7/31,,8,8,2,6,6,,,18,10,40
260,372 文山區,萬慶段二小段676-1地號等土地 臺北市文山區萬慶街,,,109/7/31,,8,,2,6,6,3,,18,10,35
261,320 松山區,西松段三小段692地號等土地,臺北市松山區光復南路,,109/7/31,,8,8,2,6,6,,,18,10,40
262,358 南港區,南港段四小段108地號等土地,臺北市南港區興華路,,109/7/31,,6,8,,,,,,18,10,24
263,594 士林區,福林段三小段718地號等土地,臺北市士林區志成街,,109/7/31,,8,8,2,6,6,,,18,10,40
264,751 信義區,信義段一小段416地號等土地,臺北市松山區虎林街,,109/7/31,,8,10,2,6,,4,,18,10,40
265,621 士林區,至善段三小段432地號等土地,臺北市士林區至善路二段,,109/7/31,,8,,2,,,,,18,10,20
數,,,,,,原容大於法,,,,7綠,,,,19,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,19,,總獎勵額度
,,,,,,容3,,,,建築,,,,19,模獎,
,,,,,,,估,縮,計,,築,設計,設地,19,,
,,,,,,,,,,,,,,19,勵,
266,202 萬華區,直興段二小段687地號等土地,臺北市萬華區環河南路二段,失其效力,109/7/31,,8,,10,6,6,,,19,10,40
,,,,,,,,,,,,,,19,,69.75%
267,314 中山區,長安段三小段412地號等土地,臺北市中山區松江路,,109/8/3,995.23,8,8,2,,,3,,19,10,
,,,,,,,,,,,,,,19,,原容1.15
268,1006.36 北投區,行義段三小段395-1地號等土地 臺北市北投區石牌路二段,,,109/8/3,,8,10,4,6,,3,,19,10,40
269,480 中正區,南海段五小段356地號等土地,臺北市中正區和平東路二段,,109/8/6,,8,8,4,6,4,,,19,10,40
,,,,,,,,,,,,,,19,,115.63%
270,1521 中山區,榮星段三小段549地號等土地,臺北市中山區民生東路三段,,109/8/6,7778.06,6,8,2,6,,,,19,10,
,,,,,,,,,,,,,,19,,原容1.15
271,1506 中山區,榮星段三小段536地號等土地,臺北市中山區民生東路三段,,109/8/6,10,6,8,2,6,,,,19,10,40
272,544.92 北投區,新民段三小段23-4地號等土地,臺北市北投區翠宜路,,109/8/7,,8,8,2,8,,3,,19,10,39
,,,,,,,,,,,,,,19,,189.86%
273,827 中山區,吉林段二小段934地號等土地,臺北市中山區松江路,,109/8/7,6994.32,8,,10,,6,,,19,10,
,,,,,,,,,,,,,,19,,原容1.15
274,694 松山區,寶清段二小段238-5地號等土地 臺北市松山區八德路四段,,,109/8/10,,8,,2,,,,,19,10,20
275,301 中正區,南海段五小段364地號等土地,臺北市中正區和平東路二段,,109/8/14,,8,,10,6,6,,,19,10,40
276,671 中山區,正義段一小段842地號等土地,臺北市中山區市民大道三段,,109/8/14,,8,8,4,6,,4,,19,10,40
,,,,,,,,,,,,,,19,,349.92%
277,117 松山區,西松段二小段421地號等土地,臺北市松山區八德路四段,失其效力,109/8/14,365.75,8,,2,,,,,19,10,
,,,,,,,,,,,,,,19,,原容1.15
278,244 松山區,美仁段二小段301地號等土地,臺北市松山區八德路段,,109/8/14,,8,,6,6,6,4,,19,10,40
279,136 中正區,南海段四小段560地號等土地,臺北市中正區南昌路一段,,109/8/14,10,8,,2,6,,3,,19,10,39
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,20,,
案件,,,,,,,,,,,,,,20,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,20,,
數,,,,,,原容大於法,,,,7綠,,,,20,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,20,,總獎勵額度
,,,,,,容3,,,,建築,,,,20,模獎,
,,,,,,,估,縮,計,,築,設計,設地,20,,
,,,,,,,,,,,,,,20,勵,
,,,,,,,,,,,,,,20,,111%
280,200 大同區,大同段一小段408地號等土地,臺北市大同區承德路三段,失其效力,109/8/14,222,8,,4,6,6,3,,20,10,
,,,,,,,,,,,,,,20,,原容1.15
281,389 信義區,祥和段三小段257地號等土地,臺北市信義區松仁路,失其效力,109/8/16,,8,8,2,6,6,,,20,10,40
,,,,,,,,,,,,,,20,,264.59%
282,950 中正區,臨沂段一小段396地號等土地,臺北市中正區金山南路一段,,109/8/20,4416.15,8,8,2,6,,,,20,10,
,,,,,,,,,,,,,,20,,原容1.15
283,276 中山區,中山段三小段764地號等土地,臺北市中山區中山北路二段,失其效力,109/8/20,,8,,4,6,6,4,,20,10,38
284,96 中山區,長安段四小段3地號等土地,臺北市中山區長安東路二段,,109/8/20,,8,,,,,,,20,10,18
285,1124.65 北投區,溫泉段二小段414地號等土地,臺北市北投區公館路,,109/8/21,,8,8,2,6,6,,,20,10,40
286,311 大安區,金華段二小段703地號等土地,臺北市大安區金華街,,109/8/26,10,8,8,2,2,,,,20,10,40
287,949.83 北投區,行義段二小段672地號等土地,臺北市北投區行義路,失其效力,109/8/27,,8,8,4,6,4,,,20,10,40
288,362 大同區,大同段二小段209地號等土地,臺北市大同區民權西路,,109/8/27,,8,,4,6,6,3,,20,10,37
,,,,,,,,,,,,,,20,,187.54%
289,556 士林區,三玉段四小段282地號等土地,臺北市士林區士東路,,109/8/31,1610.63,8,8,2,6,,,5,20,10,
,,,,,,,,,,,,,,20,,原容1.15
290,979 北投區,豐年段二小段382地號等土地,臺北市北投區中央北路二段,,109/8/31,,8,10,4,6,,3,,20,10,40
291,191 萬華區,雙園段二小段737地號等土地,臺北市萬華區德昌街,,109/8/31,,8,,2,,,,,20,10,20
,,,臺北市內湖區港華里環山路二,,,,,,,,,,,20,,
292,203 內湖區,碧湖段四小段883地號等土地,,,109/8/31,,8,,,,,,,20,10,18
,,,段,,,,,,,,,,,20,,
293,782 大安區,復興段三小段279地號等土地,臺北市大安區大安路一段,,109/8/31,,8,10,4,6,,3,,20,10,40
,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,,21,,
案件,,,,,,,,,,,,,時程,21,,
,基地面積(㎡)行政區,地段地號門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,,21,,
數,,,,,原容大於法,,,,7綠,,,,+規,21,,
,,,,,,構評,地退,震設,,慧建,障礙,贈公,,21,總獎勵額度,
,,,,,容3,,,,建築,,,,模獎,21,,
,,,,,,估,縮,計,,築,設計,設地,,21,,
,,,,,,,,,,,,,勵,21,,
294,296 內湖區,文德段一小段227-1地號等土地 臺北市內湖區內湖路二段,失其效力,109/8/31,,8,,2,2,4,4,,10,21,30,
295,474 北投區,新民段二小段468地號等土地臺北市北投區泉源路,,109/8/31,,8,8,4,6,,4,,10,21,40,
296,130 士林區,三玉段二小段467地號等土地臺北市士林區忠誠路二段,,109/9/2,,8,,2,4,,,,10,21,24,
297,324 大同區,延平段三小段422地號等土地臺北市大同區延平北路二段,,109/9/2,,6,,,,,,,10,21,16,
298,199 大安區,龍泉段一小段116地號等土地臺北市大安區新生南路三段,失其效力,109/9/4,,6,,2,,,,,10,21,18,
299,505 文山區,萬慶段三小段213地號等土地臺北市文山區羅斯福路六段,,109/9/4,,8,8,2,6,6,,,10,21,40,
300,305 大安區,仁愛段一小段159地號等土地臺北市大安區光復南路,,109/9/4,,8,,10,,,,,10,21,28,
301,596 大同區,迪化段三小段497地號等土地臺北市大同區南京西路,,109/9/7,,8,,10,,,,,10,21,28,
302,151 信義區,永春段二小段204地號等土地臺北市信義區信義路六段,,109/9/9,,8,,4,6,4,3,,10,21,35,
303,181 大安區,復興段三小段766地號等土地臺北市大安區大安路一段,,109/9/9,,8,,2,8,,3,5,10,21,36,
304,475 大安區,復興段三小段770地號等土地臺北市大安區大安路一段,,109/9/10,,8,8,4,6,,,,10,21,36,
305,428 內湖區,康寧段一小段15地號等土地臺北市內湖區大湖山莊街,,109/9/11,,8,10,4,,,,,10,21,32,
306,521 文山區,木柵段一小段945地號等土地臺北市文山區久康街,,109/9/11,,8,8,10,4,,,,10,21,40,
307,560 大同區,大同段一小段466地號等土地臺北市大同段大龍街,,109/9/11,,8,8,2,6,6,,,10,21,40,
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,22,,
案件,,,,,,,,,,,,,,22,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,22,,
數,,,,,,原容大於法,,,,7綠,,,,22,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,22,,總獎勵額度
,,,,,,容3,,,,建築,,,,22,模獎,
,,,,,,,估,縮,計,,築,設計,設地,22,,
,,,,,,,,,,,,,,22,勵,
308,419.82 北投區,行義段四小段318-1地號等土地 臺北市北投區石牌路段,,失其效力,109/9/15,,8,8,,,,,,22,10,26
309,145 文山區,興安段二小段282地號等土地,臺北市文山區興隆路二段,,109/9/15,,8,,4,4,,,,22,10,26
310,527 信義區,吳興段二小段394地號等土地,臺北市信義區吳興街,失其效力,109/9/17,,8,8,2,6,6,,,22,10,40
311,80 松山區,寶清段三小段508地號等土地,臺北市松山區南京東路五段,,109/9/17,,8,,,,,,,22,10,18
312,201 大安區,懷生段三小段336地號等土地,臺北市大安區仁愛路,,109/10/20,,8,,2,6,6,3,,22,10,35
,,,臺北市中正區文北里仁愛路二,,,,,,,,,,,22,,
313,221 中正區,中正段二小段21地號等土地,,,109/9/22,,8,,10,4,,4,4.3,22,10,40
,,,段,,,,,,,,,,,22,,
314,314 中正區,臨沂段三小段112地號等土地,臺北市中正區臨沂街,,109/9/23,,6,8,2,6,6,,,22,10,38
315,398 中山區,中山段一小段573地號等土地,臺北市中山區中山北路三段,,109/9/25,,8,,2,6,6,,,22,10,32
316,247 信義區,永吉段二小段216地號等土地,臺北市信義區永吉路,,109/9/25,,8,,10,,,,,22,10,28
317,816 大同區,大龍段二小段144地號等土地,臺北市大同區哈密街,,109/9/26,,8,8,4,6,,,,22,10,36
318,294 北投區,奇岩段三小段11地號等土地,臺北市北投區公館路,,109/9/26,,8,8,2,,,,,22,10,28
319,883 內湖區,康寧段一小段276地號等土地,臺北市內湖區大湖街,,109/9/26,,8,8,2,6,6,,,22,10,40
320,289 大安區,復興段三小段872地號等土地,臺北市大安區信義路四段,失其效力,109/9/26,,8,8,10,4,,,,22,10,40
321,298 大安區,瑞安段三小段46地號等土地,臺北市大安區瑞安街,,109/9/26,,8,8,4,4,,,5,22,10,39
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,23,,
案件,,,,,,,,,,,,,,23,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,23,,
數,,,,,,原容大於法,,,,7綠,,,,23,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,23,,總獎勵額度
,,,,,,容3,,,,建築,,,,23,模獎,
,,,,,,,估,縮,計,,築,設計,設地,23,,
,,,,,,,,,,,,,,23,勵,
322,475 士林區,蘭雅段三小段361地號等土地,臺北市士林區文林路,,109/9/26,,8,8,10,0,,4,,23,10,40
323,426 大同區,大同段一小段609地號等土地,臺北市大同區民族西路,,109/9/30,,8,,10,6,6,,,23,10,40
324,806 北投區,振興段三小段76地號等土地,臺北市北投區懷德段,,109/10/5,,8,8,2,6,6,,,23,10,40
325,69 大安區,龍泉段三小段472地號等土地,臺北市大安區浦城街,,109/10/7,,8,,,,,,,23,10,18
326,399 中山區,中山段三小段32地號等土地,臺北市中山區錦州街,,109/10/7,,8,,4,8,2,3,,23,10,35
327,220 大同區,大龍段一小段442地號等土地,臺北市大同區哈密街,,109/10/12,,8,,2,8,8,4,,23,10,40
328,209.29 士林區,芝山段一小段768地號等土地,臺北市士林區芝玉路,,109/10/16,,8,,,,,,,23,10,18
329,350 北投區,奇岩段三小段488地號等土地,臺北市北投區公館路,,109/10/16,,8,,6,6,6,4,,23,10,40
,,,,,,,,,,,,,,23,,130.32%
330,3031 大安區,懷生段二小段493地號等土地,臺北市大安區建國南路一段,,109/10/19,15665.06,8,8,10,6,,,,23,10,
,,,,,,,,,,,,,,23,,原容1.15
,,,,,,,,,,,,,,23,,118.02%
331,482 大安區,龍泉段一小段557地號等土地,臺北市大安區新生南路三段,,109/10/20,631.79,8,8,2,,6,,5,23,10,
,,,,,,,,,,,,,,23,,原容1.15
332,257 大安區,復興段三小段235地號等土地,臺北市大安區大安路一段,,109/10/20,,8,,2,8,,,,23,10,28
333,133 北投區,文林段一小段210地號等土地,臺北市北投區文林北路,,109/10/20,,8,,2,6,,4,,23,10,30
334,147 大安區,金華段二小段463地號等土地,臺北市大安區和平東路一段,,109/10/20,,8,,10,6,,,,23,10,34
335,103 大安區,瑞安段二小段758地號等土地,臺北市大安區復興南路二段,,109/10/20,,8,,4,6,4,,3,23,10,35
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,24,,
案件,,,,,,,,,,,,,,24,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,24,,
數,,,,,,原容大於法,,,,7綠,,,,24,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,24,,總獎勵額度
,,,,,,容3,,,,建築,,,,24,模獎,
,,,,,,,估,縮,計,,築,設計,設地,24,,
,,,,,,,,,,,,,,24,勵,
336,300.98 大安區,龍泉段三小段430地號等土地,臺北市大安區浦城街,,109/10/20,,8,,4,8,4,3,2,24,10,39
337,253 松山區,延吉段三小段707地號等土地,臺北市松山區八德路三段,,109/10/20,,8,,4,4,4,5,5,24,10,40
338,618 中正區,福和段一小段536地號等土地,臺北市中正區羅斯福路三段,失其效力,109/10/20,,8,,4,6,6,4,,24,10,38
339,113.7 北投區,崇仰段三小段183地號等土地,臺北市北投區石牌路二段,,109/10/20,,8,10,2,8,,3,,24,10,40
,,,,,,,,,,,,,,24,,127.31%
340,2069 松山區,敦化段二小段4地號等土地,臺北市松山區敦化北路,,109/10/22,13375.94,8,8,10,6,,,,24,10,
,,,,,,,,,,,,,,24,,原容1.15
341,695 中正區,河堤段六小段487地號等土地,臺北市中正區廈門街,,109/10/23,,8,8,2,6,6,,,24,10,40
