0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
39,468 大同區,延平段二小段50地號等土地,臺北市大同區民權西路,108/6/14,8,,10,6,4,3,,10,40,2,,
40,160 大同區,大同段二小段608地號等土地,臺北市大同區蘭州街,108/6/14,8,,,,,,,10,18,2,,
41,1279 內湖區,碧湖段二小段216地號等土地,臺北市內湖區內湖路二段,108/6/14,8,,,,,,,10,18,2,,
數,,,,,,原容大於法,,,7綠,,,,+規,3,,
,,,,,,構評,地退,震設,,慧建,障礙,贈公,,3,總獎勵額度,
,,,,,容3,,,,建築,,,,模獎,3,,
,,,,,,估,縮,計,,築,設計,設地,,3,,
,,,,,,,,,,,,,勵,3,,
42,523 內湖區,碧湖段一小段737地號等土地,臺北市內湖區內湖路三段,,108/6/17,8,,4,6,,4,,10,3,32,
43,1178 大安區,學府段三小段34地號等土地,臺北市大安區和平東路二段,,108/6/17,7.04,8,4,6,6,,,10,3,40,
44,957 萬華區,漢中段二小段255地號等土地,臺北市萬華區貴陽街二段,,108/6/17,8,,,,,,,10,3,18,
45,245 北投區,開明段一小段62地號等土地,臺北市北投區復興三路,,108/6/25,8,,,,,,,10,3,18,
46,579 中山區,中山段二小段102地號等土地,臺北市中山區撫順街,失其效力,108/6/25,8,,10,,,,,10,3,28,
47,159 中山區,中山段三小段271地號等土地,臺北市中山區中山北路二段,,108/7/5,8,,2,6,6,,,10,3,32,
48,449 中正區,城中段二小段497地號等土地,臺北市中正區永綏街,,108/7/8,8,,,,,,,10,3,18,
49,506 士林區,陽明段一小段759-2地號等土地 臺北市士林區文林路,,,108/7/11,8,,4,6,6,4,,10,3,38,
50,104 大同區,雙連段三小段80地號等土地,臺北市大同區承德路二段,,108/7/11,8,,2,,,,,10,3,20,
51,703 大安區,懷生段一小段198地號等土地,臺北市大安區市民大道三段,,108/7/17,8,8,2,8,,4,,10,3,40,
52,393.86 大同區,市府段二小段367地號等土地,臺北市大同區長安西路,,108/7/23,8,,2,4,,,,10,3,24,
53,278 松山區,敦化段三小段193地號等土地,臺北市松山區八德路二段,,108/7/26,8,8,4,6,,3,1,10,3,40,
54,1047 萬華區,雙園段一小段282-1地號等土地 臺北市萬華區西園路二段,,失其效力,108/7/31,6,10,4,6,,4,,10,3,40,
55,390 大同區,延平段一小段502地號等土地,臺北市大同區保安街,,108/7/31,8,,,,,,,10,3,18,
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,4,,
案件,,,,,,,,,,,,,,4,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,4,,
數,,,,,,原容大於法,,,,7綠,,,,4,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,4,,總獎勵額度
